MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
8.3252,41,6.984126984,1.023809524,322,2.555555556,37.88,-122.23,2.11928706,3.713572067,1.943640001,0.023530497,5.774551546,0.938269639,3.634423268,4.805904516,4.526
8.3014,21,6.238137083,0.971880492,2401,2.109841828,37.86,-122.22,2.116424175,3.044522438,1.830681593,-0.028522433,7.783640596,0.746612982,3.633895146,4.805822699,3.585
7.2574,52,8.288135593,1.073446328,496,2.802259887,37.85,-122.24,1.982021638,3.951243719,2.114825046,0.07087434,6.206575927,1.030426194,3.63363098,4.805986325,3.521
5.6431,52,5.817351598,1.073059361,558,2.547945205,37.85,-122.25,1.73043356,3.951243719,1.760845106,0.070513784,6.324358962,0.935287233,3.63363098,4.806068128,3.413
3.8462,52,6.281853282,1.081081081,565,2.181467181,37.85,-122.25,1.347085648,3.951243719,1.837665046,0.077961541,6.336825731,0.779997669,3.63363098,4.806068128,3.422
4.0368,52,4.761658031,1.103626943,413,2.139896373,37.85,-122.25,1.395452299,3.951243719,1.560595933,0.098601977,6.023447593,0.760757404,3.63363098,4.806068128,2.697
3.6591,52,4.931906615,0.951361868,1094,2.128404669,37.84,-122.25,1.297217216,3.951243719,1.595725651,-0.049860776,6.997595983,0.755372718,3.633366744,4.806068128,2.992
3.12,52,4.797527048,1.061823802,1157,1.788253478,37.84,-122.25,1.137833002,3.951243719,1.568100587,0.059987998,7.053585727,0.581239433,3.633366744,4.806068128,2.414
2.0804,42,4.294117647,1.117647059,1206,2.026890756,37.84,-122.26,0.732560183,3.737669618,1.457246097,0.111225635,7.095064377,0.706502972,3.633366744,4.806149925,2.267
3.6912,52,4.970588235,0.990196078,1551,2.172268908,37.84,-122.25,1.305951608,3.951243719,1.60353819,-0.009852296,7.346655163,0.775772201,3.633366744,4.806068128,2.611
3.2031,52,5.47761194,1.07960199,910,2.263681592,37.85,-122.26,1.164119091,3.951243719,1.700669229,0.076592445,6.8134446,0.816992511,3.63363098,4.806149925,2.815
3.2705,52,4.772479564,1.024523161,1504,2.049046322,37.85,-122.26,1.184942878,3.951243719,1.562865995,0.024227295,7.315883505,0.717374476,3.63363098,4.806149925,2.418
